일자,요일,총계,내국인,외국인
20180101,월,35968,34278,1690
20180102,화,39179,35625,3554
20180103,수,38077,35920,2157
20180104,목,36832,35192,1640
20180105,금,33578,31793,1785
20180106,토,34667,32578,2089
20180107,일,35478,33678,1800
20180108,월,37915,36133,1782
20180109,화,34061,32301,1760
20180110,수,31641,29635,2006
20180111,목,16689,15762,927
20180112,금,35551,34009,1542
20180113,토,37413,35490,1923
20180114,일,37329,35588,1741
20180115,월,39086,37216,1870
20180116,화,36488,34571,1917
20180117,수,36178,34010,2168
20180118,목,37999,36308,1691
20180119,금,38073,36071,2002
20180120,토,41158,38965,2193
20180121,일,39151,37216,1935
20180122,월,39159,37226,1933
20180123,화,36391,34468,1923
20180124,수,35627,33435,2192
20180125,목,38110,36190,1920
20180126,금,37160,35171,1989
20180127,토,39114,37126,1988
20180128,일,36613,34718,1895
20180129,월,36379,34321,2058
20180130,화,31168,28840,2328
20180131,수,30800,28608,2192
20180201,목,33144,31070,2074
20180202,금,31549,29564,1985
20180203,토,31348,29149,2199
20180204,일,26980,25047,1933
20180205,월,30188,28056,2132
20180206,화,19613,17850,1763
20180207,수,28573,26740,1833
20180208,목,25004,23228,1776
20180209,금,28622,26899,1723
20180210,토,29624,27436,2188
20180211,일,28209,26536,1673
20180212,월,27960,26062,1898
20180213,화,33542,31807,1735
20180214,수,39630,37289,2341
20180215,목,42996,41142,1854
20180216,금,34893,32959,1934
20180217,토,35593,33109,2484
20180218,일,39289,37224,2065
20180219,월,38183,36045,2138
20180220,화,40373,37860,2513
20180221,수,40393,37682,2711
20180222,목,39885,37791,2094
20180223,금,40801,38969,1832
20180224,토,40291,37995,2296
20180225,일,39635,37383,2252
20180226,월,38107,35852,2255
20180227,화,37118,34638,2480
20180228,수,37639,35253,2386
20180301,목,42353,39433,2920
20180302,금,34957,32690,2267
20180303,토,29847,27553,2294
20180304,일,32953,30840,2113
20180305,월,32222,29941,2281
20180306,화,29834,27479,2355
20180307,수,26562,24124,2438
20180308,목,31502,29221,2281
20180309,금,36149,34087,2062
20180310,토,37236,34913,2323
20180311,일,33189,31057,2132
20180312,월,33141,30726,2415
20180313,화,32049,29756,2293
20180314,수,31758,29232,2526
20180315,목,36115,33850,2265
20180316,금,38429,36088,2341
20180317,토,39376,36717,2659
20180318,일,35826,33642,2184
20180319,월,35369,32948,2421
20180320,화,33676,31098,2578
20180321,수,36540,33857,2683
20180322,목,38839,36560,2279
20180323,금,40935,38403,2532
20180324,토,42858,38034,4824
20180325,일,37432,34785,2647
20180326,월,38695,35939,2756
20180327,화,36931,34061,2870
20180328,수,39566,36178,3388
20180329,목,40521,37409,3112
20180330,금,42909,40206,2703
20180331,토,42911,39519,3392
20180401,일,38446,35624,2822
20180402,월,42441,39775,2666
20180403,화,42402,39446,2956
20180404,수,40732,37277,3455
20180405,목,43487,40469,3018
20180406,금,45248,42735,2513
20180407,토,44485,41431,3054
20180408,일,41360,38751,2609
20180409,월,43667,38894,4773
20180410,화,41537,38832,2705
20180411,수,42865,40122,2743
20180412,목,44623,41717,2906
20180413,금,45239,42700,2539
20180414,토,44130,41039,3091
20180415,일,42312,39627,2685
20180416,월,41770,39309,2461
20180417,화,40355,37169,3186
20180418,수,42735,39893,2842
20180419,목,44526,41757,2769
20180420,금,47077,44109,2968
20180421,토,43603,39976,3627
20180422,일,40347,37522,2825
20180423,월,41902,39393,2509
20180424,화,41627,38448,3179
20180425,수,45871,42818,3053
20180426,목,45844,43036,2808
20180427,금,48680,46080,2600
20180428,토,49909,45689,4220
20180429,일,45634,42711,2923
20180430,월,41603,38824,2779
20180501,화,39201,36089,3112
20180502,수,39325,36582,2743
20180503,목,42710,39843,2867
20180504,금,48626,45985,2641
20180505,토,52961,49373,3588
20180506,일,36587,33949,2638
20180507,월,36575,34292,2283
20180508,화,40998,38171,2827
20180509,수,40805,38093,2712
20180510,목,40211,37747,2464
20180511,금,42168,39442,2726
20180512,토,44651,41347,3304
20180513,일,40436,37603,2833
20180514,월,43622,41240,2382
20180515,화,43255,40166,3089
20180516,수,41802,38987,2815
20180517,목,44179,41092,3087
20180518,금,46633,43704,2929
20180519,토,49533,46125,3408
20180520,일,42593,39955,2638
20180521,월,35632,33352,2280
20180522,화,33234,30608,2626
20180523,수,38643,35964,2679
20180524,목,40806,38039,2767
20180525,금,42111,39136,2975
20180526,토,45671,41986,3685
20180527,일,42615,39460,3155
20180528,월,44161,41478,2683
20180529,화,42356,39256,3100
20180530,수,41429,37765,3664
20180531,목,40214,37088,3126
20180601,금,45083,41803,3280
20180602,토,48463,44631,3832
20180603,일,45700,42576,3124
20180604,월,43820,41083,2737
20180605,화,42768,39494,3274
20180606,수,44434,41126,3308
20180607,목,40274,36739,3535
20180608,금,41424,37664,3760
20180609,토,46153,42020,4133
20180610,일,44112,39942,4170
20180611,월,41626,37856,3770
20180612,화,40707,36582,4125
20180613,수,44441,39728,4713
20180614,목,41141,36817,4324
20180615,금,41543,37511,4032
20180616,토,43319,38438,4881
20180617,일,43208,39052,4156
20180618,월,43444,39606,3838
20180619,화,41555,37239,4316
20180620,수,44490,39520,4970
20180621,목,44349,40272,4077
20180622,금,44935,41128,3807
20180623,토,45406,40948,4458
20180624,일,43043,39247,3796
20180625,월,43681,40296,3385
20180626,화,41451,37313,4138
20180627,수,38419,34761,3658
20180628,목,39680,34456,5224
20180629,금,35345,31757,3588
