일자,요일,총계,내국인,외국인
20170512,금,40027,37866,2161
20170513,토,41524,38980,2544
20170514,일,40506,38205,2301
20170515,월,43832,41412,2420
20170516,화,41258,38872,2386
20170517,수,42791,40308,2483
20170518,목,41608,39479,2129
20170519,금,42629,40210,2419
20170520,토,43504,40710,2794
20170521,일,39990,37782,2208
20170522,월,42336,39782,2554
20170523,화,38995,36690,2305
20170524,수,41249,38226,3023
20170525,목,41640,39019,2621
20170526,금,43940,41178,2762
20170527,토,44601,41445,3156
20170528,일,41126,38486,2640
20170529,월,42098,39602,2496
20170530,화,37255,34832,2423
20170531,수,40981,38352,2629
20170601,목,41907,39568,2339
20170602,금,46492,43936,2556
20170603,토,50773,47550,3223
20170604,일,43647,40691,2956
20170605,월,36538,34088,2450
20170606,화,35687,32973,2714
20170607,수,44229,39432,4797
20170608,목,41612,38975,2637
20170609,금,45502,41860,3642
20170610,토,43377,40615,2762
20170611,일,45139,40736,4403
20170612,월,43536,40998,2538
20170613,화,40244,37786,2458
20170614,수,39521,36833,2688
20170615,목,43627,41393,2234
20170616,금,44004,41370,2634
20170617,토,45012,42237,2775
20170618,일,42739,40430,2309
20170619,월,41916,39448,2468
20170620,화,39006,37026,1980
20170621,수,42003,38645,3358
20170622,목,43586,41055,2531
20170623,금,42808,39353,3455
20170624,토,43345,40170,3175
20170625,일,43799,40933,2866
20170626,월,43928,41474,2454
20170627,화,42175,39409,2766
20170628,수,38479,35114,3365
20170629,목,38223,35079,3144
20170630,금,38427,34973,3454
20170701,토,39829,36964,2865
20170702,일,40388,37254,3134
20170703,월,38681,35714,2967
20170704,화,32913,29899,3014
20170705,수,38338,34837,3501
20170706,목,40594,37783,2811
20170707,금,40647,37599,3048
20170708,토,39313,36418,2895
20170709,일,39827,36764,3063
20170710,월,40945,37828,3117
20170711,화,40301,37226,3075
20170712,수,41378,38459,2919
20170713,목,41234,38578,2656
20170714,금,39685,36475,3210
20170715,토,42360,38596,3764
20170716,일,42836,39747,3089
20170717,월,41227,38405,2822
20170718,화,38010,35282,2728
20170719,수,38984,35587,3397
20170720,목,41223,38670,2553
20170721,금,39932,36735,3197
20170722,토,42684,39612,3072
20170723,일,42747,39413,3334
20170724,월,40347,37468,2879
20170725,화,37582,34801,2781
20170726,수,43574,40418,3156
20170727,목,42946,40345,2601
20170728,금,47073,43758,3315
20170729,토,51110,47870,3240
20170730,일,49238,46074,3164
20170731,월,46842,44192,2650
20170801,화,44969,42387,2582
20170802,수,47107,43795,3312
20170803,목,44087,41532,2555
20170804,금,38921,36104,2817
20170805,토,38585,35977,2608
20170806,일,39151,36795,2356
20170807,월,41158,38650,2508
20170808,화,38594,36143,2451
20170809,수,41099,37871,3228
20170810,목,44263,41731,2532
20170811,금,48696,44707,3989
20170812,토,50500,47569,2931
20170813,일,45719,43047,2672
20170814,월,40524,38167,2357
20170815,화,41892,39789,2103
20170816,수,43905,41073,2832
20170817,목,40136,37785,2351
20170818,금,38622,35895,2727
20170819,토,39721,37348,2373
20170820,일,43312,41008,2304
20170821,월,43474,41196,2278
20170822,화,42468,39945,2523
20170823,수,43345,40501,2844
20170824,목,42868,40972,1896
20170825,금,41567,39062,2505
20170826,토,44054,41761,2293
20170827,일,44844,42660,2184
20170828,월,42877,41675,1202
20170829,화,40443,38601,1842
20170830,수,38159,35800,2359
20170831,목,41986,40224,1762
20170901,금,42639,40330,2309
20170902,토,43791,41512,2279
20170903,일,44874,42628,2246
20170904,월,42972,40949,2023
20170905,화,39639,37682,1957
20170906,수,41955,39851,2104
20170907,목,43707,41835,1872
20170908,금,42557,40230,2327
20170909,토,43882,41706,2176
20170910,일,42810,40739,2071
20170911,월,42127,39856,2271
20170912,화,40164,38009,2155
20170913,수,42181,39645,2536
20170914,목,44125,42161,1964
20170915,금,37988,35508,2480
20170916,토,36359,34062,2297
20170917,일,40914,38488,2426
20170918,월,40029,38302,1727
20170919,화,38233,36200,2033
20170920,수,39941,37465,2476
20170921,목,42583,40600,1983
20170922,금,44108,41838,2270
20170923,토,42672,40335,2337
20170924,일,38742,36441,2301
20170925,월,37943,35751,2192
20170926,화,33040,31300,1740
20170927,수,34007,31139,2868
20170928,목,37388,35196,2192
20170929,금,44896,42418,2478
20170930,토,50856,48445,2411
20171001,일,50193,48100,2093
20171002,월,50089,47709,2380
20171003,화,50521,48319,2202
20171004,수,51317,48627,2690
20171005,목,51821,49947,1874
20171006,금,50327,47967,2360
20171007,토,42426,40438,1988
20171008,일,36696,34759,1937
20171009,월,31818,30060,1758
20171010,화,30473,28939,1534
20171011,수,35415,33342,2073
20171012,목,33117,31406,1711
20171013,금,37102,34642,2460
20171014,토,40249,36089,4160
20171015,일,37431,35384,2047
20171016,월,41546,39861,1685
20171017,화,39813,38117,1696
20171018,수,40981,38310,2671
20171019,목,40812,38766,2046
20171020,금,44343,40974,3369
20171021,토,41985,39877,2108
20171022,일,40690,38361,2329
20171023,월,42179,39867,2312
20171024,화,42555,40661,1894
20171025,수,41278,39749,1529
20171026,목,42806,40985,1821
20171027,금,44337,41706,2631
20171028,토,43030,40707,2323
20171029,일,39046,37752,1294
20171030,월,38899,37210,1689
20171031,화,37910,36218,1692
20171101,수,40840,38759,2081
20171102,목,41247,39298,1949
20171103,금,42299,41007,1292
20171104,토,42635,40590,2045
20171105,일,42073,40379,1694
20171106,월,41134,39418,1716
20171107,화,38081,36154,1927
20171108,수,38989,37476,1513
20171109,목,40274,38631,1643
