일자,요일,총계,내국인,외국인
20160101,금,43196,39146,4050
20160102,토,33711,24621,9090
20160103,일,35086,30817,4269
20160104,월,39569,33539,6030
20160105,화,34798,30702,4096
20160106,수,32931,29654,3277
20160107,목,36645,32565,4080
20160108,금,36579,31542,5037
20160109,토,42647,33233,9414
20160110,일,37724,33484,4240
20160111,월,36209,33096,3113
20160112,화,34362,29603,4759
20160113,수,32761,29390,3371
20160114,목,40505,32862,7643
20160115,금,40813,32864,7949
20160116,토,38884,34111,4773
20160117,일,37311,32062,5249
20160118,월,35175,30938,4237
20160119,화,32376,28083,4293
20160120,수,33302,29612,3690
20160121,목,42564,33211,9353
20160122,금,36978,31367,5611
20160123,토,16774,14518,2256
20160124,일,0,0,0
20160125,월,14434,10163,4271
20160126,화,33604,28675,4929
20160127,수,32694,24354,8340
20160128,목,33385,25039,8346
20160129,금,30131,24977,5154
20160130,토,31977,25272,6705
20160131,일,32916,23450,9466
20160201,월,32270,25327,6943
20160202,화,26562,20535,6027
20160203,수,25296,18194,7102
20160204,목,32847,24255,8592
20160205,금,37684,31961,5723
20160206,토,44548,38231,6317
20160207,일,45607,35742,9865
20160208,월,39401,32125,7276
20160209,화,39364,32462,6902
20160210,수,40958,33384,7574
20160211,목,34350,26632,7718
20160212,금,31206,24604,6602
20160213,토,36263,23765,12498
20160214,일,37073,30427,6646
20160215,월,39525,34226,5299
20160216,화,38188,31184,7004
20160217,수,41839,32499,9340
20160218,목,42671,33770,8901
20160219,금,37837,31209,6628
20160220,토,40683,33137,7546
20160221,일,39379,32898,6481
20160222,월,42146,33126,9020
20160223,화,40815,31928,8887
20160224,수,37791,31741,6050
20160225,목,44254,35264,8990
20160226,금,44276,34615,9661
20160227,토,44168,36428,7740
20160228,일,37333,31791,5542
20160229,월,27171,20962,6209
20160301,화,27354,20310,7044
20160302,수,29520,22849,6671
20160303,목,28816,23514,5302
20160304,금,35044,26765,8279
20160305,토,35059,27604,7455
20160306,일,31912,24457,7455
20160307,월,30187,25722,4465
20160308,화,26494,21504,4990
20160309,수,28589,20347,8242
20160310,목,32514,27502,5012
20160311,금,42266,31203,11063
20160312,토,37308,31835,5473
20160313,일,37029,28385,8644
20160314,월,35579,27325,8254
20160315,화,36329,26702,9627
20160316,수,32635,25712,6923
20160317,목,41522,32725,8797
20160318,금,44995,36743,8252
20160319,토,40910,34129,6781
20160320,일,41856,33201,8655
20160321,월,39956,31705,8251
20160322,화,39024,30219,8805
20160323,수,36222,30065,6157
20160324,목,42841,33667,9174
20160325,금,48744,36381,12363
20160326,토,41446,34806,6640
20160327,일,45223,35935,9288
20160328,월,43369,35787,7582
20160329,화,40748,32918,7830
20160330,수,39266,31979,7287
20160331,목,47081,36050,11031
20160401,금,51066,40009,11057
20160402,토,49117,37869,11248
20160403,일,42606,34904,7702
20160404,월,43026,36740,6286
20160405,화,47632,33845,13787
20160406,수,42131,32229,9902
20160407,목,46321,36940,9381
20160408,금,46701,37990,8711
20160409,토,51045,39250,11795
20160410,일,47323,36528,10795
20160411,월,45639,33502,12137
20160412,화,39163,32759,6404
20160413,수,40170,33091,7079
20160414,목,43505,35495,8010
20160415,금,49597,36181,13416
20160416,토,22762,17960,4802
20160417,일,51189,42427,8762
20160418,월,48455,36304,12151
20160419,화,47780,33497,14283
20160420,수,42063,33630,8433
20160421,목,50065,37153,12912
20160422,금,48488,39289,9199
20160423,토,50226,38374,11852
20160424,일,46297,36215,10082
20160425,월,48701,35365,13336
20160426,화,43303,32495,10808
20160427,수,41273,33538,7735
20160428,목,50804,37751,13053
20160429,금,46054,35475,10579
20160430,토,47096,35169,11927
20160501,일,47862,35169,12693
20160502,월,33221,25635,7586
20160503,화,46252,35546,10706
20160504,수,50881,41615,9266
20160505,목,54657,44045,10612
20160506,금,45529,34394,11135
20160507,토,35063,26280,8783
20160508,일,38976,31013,7963
20160509,월,45890,36487,9403
20160510,화,43273,32587,10686
20160511,수,48286,35480,12806
20160512,목,46356,34023,12333
20160513,금,49163,37573,11590
20160514,토,50052,37194,12858
20160515,일,45714,33316,12398
20160516,월,44749,36481,8268
20160517,화,42391,34854,7537
20160518,수,47901,36610,11291
20160519,목,51207,35647,15560
20160520,금,46837,37610,9227
20160521,토,50830,36491,14339
20160522,일,45427,34905,10522
20160523,월,45865,36249,9616
20160524,화,44065,32406,11659
20160525,수,48074,35976,12098
20160526,목,49322,35033,14289
20160527,금,49129,37776,11353
20160528,토,50335,38268,12067
20160529,일,47823,34648,13175
20160530,월,42848,32520,10328
20160531,화,42200,30347,11853
20160601,수,45247,36277,8970
20160602,목,50334,37269,13065
20160603,금,55881,41256,14625
20160604,토,52454,44661,7793
20160605,일,47273,35674,11599
20160606,월,45774,33923,11851
