일자,요일,총계,내국인,외국인
20160607,화,50881,35762,15119
20160608,수,46470,35635,10835
20160609,목,47972,35230,12742
20160610,금,46835,36312,10523
20160611,토,51564,38667,12897
20160612,일,53149,38116,15033
20160613,월,46034,36677,9357
20160614,화,44320,32616,11704
20160615,수,45960,32465,13495
20160616,목,50340,36552,13788
20160617,금,46159,36599,9560
20160618,토,47759,36383,11376
20160619,일,46615,33175,13440
20160620,월,45971,33446,12525
20160621,화,43097,32146,10951
20160622,수,44151,33547,10604
20160623,목,47542,35059,12483
20160624,금,41835,33945,7890
20160625,토,54027,35876,18151
20160626,일,47634,34490,13144
20160627,월,47462,34917,12545
20160628,화,42077,30658,11419
20160629,수,40140,31126,9014
20160630,목,48006,35220,12786
20160701,금,44092,32432,11660
20160702,토,43887,33211,10676
20160703,일,42977,34164,8813
20160704,월,46943,35333,11610
20160705,화,50344,32635,17709
20160706,수,46796,33758,13038
20160707,목,51332,35040,16292
20160708,금,42329,31734,10595
20160709,토,45950,32794,13156
20160710,일,47390,33878,13512
20160711,월,47339,34357,12982
20160712,화,47050,33697,13353
20160713,수,46538,35371,11167
20160714,목,47747,34743,13004
20160715,금,48024,32876,15148
20160716,토,48834,35302,13532
20160717,일,50395,37037,13358
20160718,월,49892,36605,13287
20160719,화,49121,37236,11885
20160720,수,54704,37906,16798
20160721,목,51771,38570,13201
20160722,금,51729,38050,13679
20160723,토,50413,38721,11692
20160724,일,46400,38322,8078
20160725,월,53004,38723,14281
20160726,화,51014,36903,14111
20160727,수,53261,39713,13548
20160728,목,55699,41378,14321
20160729,금,54860,42055,12805
20160730,토,59507,44489,15018
20160731,일,59404,46882,12522
20160801,월,55605,42761,12844
20160802,화,49711,39144,10567
20160803,수,52178,40013,12165
20160804,목,54897,37494,17403
20160805,금,49537,36190,13347
20160806,토,48956,36488,12468
20160807,일,53198,38759,14439
20160808,월,53317,37825,15492
20160809,화,51065,33406,17659
20160810,수,51957,37533,14424
20160811,목,52210,37858,14352
20160812,금,50664,39394,11270
20160813,토,53057,42244,10813
20160814,일,56008,36786,19222
20160815,월,54595,35830,18765
20160816,화,52343,34313,18030
20160817,수,44438,31945,12493
20160818,목,45711,32093,13618
20160819,금,48650,32723,15927
20160820,토,49742,32324,17418
20160821,일,53704,35980,17724
20160822,월,48501,37091,11410
20160823,화,48729,35784,12945
20160824,수,52214,35540,16674
20160825,목,52483,34945,17538
20160826,금,46307,32596,13711
20160827,토,49355,36477,12878
20160828,일,47729,36734,10995
20160829,월,44541,34897,9644
20160830,화,36102,27307,8795
20160831,수,36105,27733,8372
20160901,목,44638,32719,11919
20160902,금,45556,30321,15235
20160903,토,49147,32234,16913
20160904,일,42671,31175,11496
20160905,월,42348,32663,9685
20160906,화,39387,29187,10200
20160907,수,35651,29141,6510
20160908,목,39984,28667,11317
20160909,금,39465,30179,9286
20160910,토,47919,35479,12440
20160911,일,40928,31396,9532
20160912,월,39307,33100,6207
20160913,화,56569,41314,15255
20160914,수,53090,46138,6952
20160915,목,52719,41605,11114
20160916,금,44163,35591,8572
20160917,토,44028,27174,16854
20160918,일,40559,31595,8964
20160919,월,34562,27481,7081
20160920,화,40961,31603,9358
20160921,수,43629,33557,10072
20160922,목,53571,35457,18114
20160923,금,47708,35749,11959
20160924,토,48687,36343,12344
20160925,일,49504,37073,12431
20160926,월,46229,37400,8829
20160927,화,45217,33122,12095
20160928,수,40382,30470,9912
20160929,목,45446,34524,10922
20160930,금,51422,39921,11501
20161001,토,62645,45672,16973
20161002,일,47935,38757,9178
20161003,월,50084,35915,14169
20161004,화,37774,32672,5102
20161005,수,31747,24749,6998
20161006,목,47567,34239,13328
20161007,금,46676,36098,10578
20161008,토,45608,37262,8346
20161009,일,45588,36176,9412
20161010,월,47239,35248,11991
20161011,화,45863,36703,9160
20161012,수,45952,36095,9857
20161013,목,48614,37262,11352
20161014,금,49894,39629,10265
20161015,토,46389,39508,6881
20161016,일,44644,36106,8538
20161017,월,47243,35238,12005
20161018,화,49807,35430,14377
20161019,수,47010,36391,10619
20161020,목,48907,35914,12993
20161021,금,49596,36704,12892
20161022,토,45998,36780,9218
20161023,일,47375,34405,12970
20161024,월,45836,35061,10775
20161025,화,45079,34291,10788
20161026,수,48448,36518,11930
20161027,목,46493,36786,9707
20161028,금,41035,31708,9327
20161029,토,48779,39213,9566
20161030,일,44815,33910,10905
20161031,월,43492,34219,9273
20161101,화,41430,32632,8798
20161102,수,47280,36510,10770
20161103,목,43989,36587,7402
20161104,금,48596,38278,10318
20161105,토,46768,36708,10060
20161106,일,44650,34803,9847
20161107,월,39148,33794,5354
20161108,화,36412,29964,6448
20161109,수,38743,32576,6167
20161110,목,45219,36408,8811
20161111,금,48388,38914,9474
20161112,토,44665,37475,7190
20161113,일,43799,34529,9270
20161114,월,36805,32294,4511
20161115,화,33385,28795,4590
20161116,수,38342,32033,6309
20161117,목,45596,34353,11243
20161118,금,47635,37938,9697
20161119,토,43747,37269,6478
20161120,일,42880,33804,9076
20161121,월,36633,30971,5662
20161122,화,34229,27060,7169
20161123,수,34176,28478,5698
20161124,목,39756,33830,5926
20161125,금,45802,37090,8712
20161126,토,42602,35524,7078
20161127,일,42703,31590,11113
20161128,월,33427,29520,3907
20161129,화,31810,23176,8634
20161130,수,30320,21951,8369
20161201,목,37813,31286,6527
20161202,금,39871,33365,6506
20161203,토,38036,29902,8134
20161204,일,37419,29552,7867
20161205,월,35934,29524,6410
20161206,화,31804,24815,6989
20161207,수,31445,25161,6284
20161208,목,38492,32204,6288
20161209,금,39715,32310,7405
20161210,토,38422,32620,5802
20161211,일,39205,30124,9081
20161212,월,33675,27564,6111
20161213,화,31502,24697,6805
20161214,수,32448,27170,5278
20161215,목,31265,26775,4490
20161216,금,37192,31883,5309
20161217,토,39358,35179,4179
20161218,일,38532,31297,7235
20161219,월,38238,31389,6849
20161220,화,36918,26814,10104
20161221,수,34149,26457,7692
20161222,목,34986,29474,5512
20161223,금,35055,28976,6079
20161224,토,45142,32327,12815
20161225,일,38258,33549,4709
20161226,월,41224,33806,7418
20161227,화,38088,33597,4491
20161228,수,44652,34653,9999
20161229,목,43253,34855,8398
20161230,금,46864,35376,11488
20161231,토,44906,35440,9466
